rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
225,BD-14 3065 b,BD-14 3065 A,b,Transit,2024,4.2889696,0.11339,6736.9,2.61,0.7315,153.6696689,-15.6428372,589.423,1.66848
226,BD-17 63 b,BD-17 63,b,Radial Velocity,2008,655.6,1.34,4714.0,0.69,0.74,7.1413494,-16.2273254,34.4603,28.9903
227,BD-17 63 b,BD-17 63,b,Radial Velocity,2008,655.57,0.11339,4651.4349999999995,0.77,0.741,7.1413494,-16.2273254,34.4603,28.9903
228,BD-17 63 b,BD-17 63,b,Radial Velocity,2008,655.59998,1.34,4665.0,0.74,0.31,7.1413494,-16.2273254,34.4603,28.9903
229,BD-17 63 b,BD-17 63,b,Radial Velocity,2008,649.0,0.11339,4651.4349999999995,0.77,0.7315,7.1413494,-16.2273254,34.4603,28.9903
230,BD-210397 b,BD-210397,b,Radial Velocity,2023,1891.0,2.63,4051.0,0.747,0.679,33.3024198,-21.1962147,23.7324,42.1075
231,BD-210397 c,BD-210397,c,Radial Velocity,2023,6360.0,5.9,4051.0,0.747,0.679,33.3024198,-21.1962147,23.7324,42.1075
232,BD-210397 c,BD-210397,c,Radial Velocity,2023,6240.0,5.9,4651.4349999999995,0.77,0.69,33.3024198,-21.1962147,23.7324,42.1075
233,BEBOP-3 b,BEBOP-3,b,Radial Velocity,2025,547.0,1.444,6033.0,1.414,1.083,110.902655,79.1323952,119.052,8.37084
234,Barnard b,Barnard's star,b,Radial Velocity,2024,3.1533,0.02294,3195.0,0.185,0.162,269.4486144,4.7379808,1.82655,547.451
235,Barnard b,Barnard's star,b,Radial Velocity,2024,3.1542,0.0229,3195.0,0.185,0.162,269.4486144,4.7379808,1.82655,547.451
236,Barnard c,Barnard's star,c,Radial Velocity,2025,4.1244,0.0274,3195.0,0.185,0.162,269.4486144,4.7379808,1.82655,547.451
237,Barnard d,Barnard's star,d,Radial Velocity,2025,2.3402,0.0188,3195.0,0.185,0.162,269.4486144,4.7379808,1.82655,547.451
238,Barnard e,Barnard's star,e,Radial Velocity,2025,6.7392,0.0381,3195.0,0.185,0.162,269.4486144,4.7379808,1.82655,547.451
239,CD Cet b,CD Cet,b,Radial Velocity,2020,2.2907,0.0185,3130.0,0.175,0.161,48.3530155,4.7751881,8.60715,116.154
242,CHXR 73 b,CHXR 73,b,Imaging,2006,8.46321,210.0,4651.4349999999995,0.77,0.35,166.6193985,-77.6258725,190.374,5.23435
243,CI Tau c,CI Tau,c,Radial Velocity,2024,25.2,0.17,4651.4349999999995,0.77,0.7315,68.4667685,22.8416192,157.998,6.30079
244,COCONUTS-2 b,COCONUTS-2 A,b,Imaging,2021,402000000.0,7506.0,3406.0,0.388,0.37,117.300914,-76.702696,10.8864,91.8291
245,COCONUTS-2 b,COCONUTS-2 A,b,Imaging,2021,8.46321,0.11339,3406.0,0.388,0.37,117.300914,-76.702696,10.8864,91.8291
246,CT Cha b,CT Cha,b,Imaging,2007,8.46321,440.0,4651.4349999999995,0.77,0.7315,166.0375038,-76.4553693,190.72,5.21444
247,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.508968772,0.11339,4651.4349999999995,0.77,0.7315,102.0798591,-3.1021394,787.909,1.24176
248,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.5089635,0.11339,5950.0,1.29,0.7315,102.0798591,-3.1021394,787.909,1.24176
249,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.5089682,0.02752,6298.0,1.23,1.22,102.0798591,-3.1021394,787.909,1.24176
250,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.508976552,0.0259,5950.0,0.77,0.7315,102.0798591,-3.1021394,787.909,1.24176
251,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.5089557,0.11339,5950.0,1.11,0.95,102.0798591,-3.1021394,787.909,1.24176
252,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.5089686,0.02536,5950.0,1.131,0.95,102.0798591,-3.1021394,787.909,1.24176
253,CoRoT-1 b,CoRoT-1,b,Transit,2008,1.5089557,0.0261,5950.0,1.14,1.03,102.0798591,-3.1021394,787.909,1.24176
254,CoRoT-10 b,CoRoT-10,b,Transit,2010,13.2406,0.1055,5075.0,0.79,0.89,291.0636813,0.7460143,338.386,2.92694
255,CoRoT-10 b,CoRoT-10,b,Transit,2010,13.23412611048,0.11339,5025.0,0.548929,0.7315,291.0636813,0.7460143,338.386,2.92694
256,CoRoT-10 b,CoRoT-10,b,Transit,2010,13.2406,0.1055,5075.0,0.79,0.89,291.0636813,0.7460143,338.386,2.92694
257,CoRoT-10 b,CoRoT-10,b,Transit,2010,13.2406,0.106,5075.0,0.743,0.904,291.0636813,0.7460143,338.386,2.92694
258,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.994325,0.04351,4651.4349999999995,1.33,1.23,280.6872998,5.9376586,655.037,1.50071
259,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.99328197444,0.11339,6343.0,1.58601,0.7315,280.6872998,5.9376586,655.037,1.50071
260,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.994325,0.04407,6440.0,1.37,1.27,280.6872998,5.9376586,655.037,1.50071
261,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.99433,0.044,6440.0,1.374,1.26,280.6872998,5.9376586,655.037,1.50071
262,CoRoT-11 b,CoRoT-11,b,Transit,2010,8.46321,0.11339,6343.0,1.36,1.56,280.6872998,5.9376586,655.037,1.50071
263,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.99427803,0.11339,6440.0,1.37,1.27,280.6872998,5.9376586,655.037,1.50071
264,CoRoT-11 b,CoRoT-11,b,Transit,2010,2.99433,0.0436,6440.0,1.37,1.27,280.6872998,5.9376586,655.037,1.50071
265,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.82803914989,0.11339,5675.0,1.03674,0.7315,100.7656871,-1.2964437,1126.37,0.861234
266,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.82805268,0.0392,4651.4349999999995,1.049,1.0,100.7656871,-1.2964437,1126.37,0.861234
267,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.828041,0.11339,5675.0,1.116,1.078,100.7656871,-1.2964437,1126.37,0.861234
268,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.828042,0.04013,5675.0,1.116,1.078,100.7656871,-1.2964437,1126.37,0.861234
269,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.828042,0.04016,5675.0,1.116,1.078,100.7656871,-1.2964437,1126.37,0.861234
270,CoRoT-12 b,CoRoT-12,b,Transit,2010,2.828042,0.0394,5675.0,1.046,1.018,100.7656871,-1.2964437,1126.37,0.861234
271,CoRoT-13 b,CoRoT-13,b,Transit,2010,4.03515,0.11339,5945.0,1.01,1.09,102.7211432,-5.0864557,1148.93,0.843947
272,CoRoT-13 b,CoRoT-13,b,Transit,2010,4.03519,0.051,5945.0,1.01,1.09,102.7211432,-5.0864557,1148.93,0.843947
273,CoRoT-13 b,CoRoT-13,b,Transit,2010,4.03504443843,0.11339,5945.0,1.13707,0.7315,102.7211432,-5.0864557,1148.93,0.843947
274,CoRoT-13 b,CoRoT-13,b,Transit,2010,4.03519,0.051,5945.0,1.274,1.086,102.7211432,-5.0864557,1148.93,0.843947
275,CoRoT-13 b,CoRoT-13,b,Transit,2010,4.03519,0.05107,5945.0,1.01,1.09,102.7211432,-5.0864557,1148.93,0.843947
276,CoRoT-14 b,CoRoT-14,b,Transit,2010,1.51214,0.02687,6035.0,1.19,1.125,103.4242023,-5.5360385,1744.6,0.547358
277,CoRoT-14 b,CoRoT-14,b,Transit,2010,1.51214,0.027,6035.0,1.21,1.13,103.4242023,-5.5360385,1744.6,0.547358
278,CoRoT-14 b,CoRoT-14,b,Transit,2010,1.51214,0.02691,6040.0,1.21,1.13,103.4242023,-5.5360385,1744.6,0.547358
279,CoRoT-16 b,CoRoT-16,b,Transit,2011,5.35227,0.0618,5650.0,1.19,1.098,278.5246658,-6.0026026,732.409,1.34056
280,CoRoT-16 b,CoRoT-16,b,Transit,2011,5.35227,0.0618,5650.0,1.19,1.098,278.5246658,-6.0026026,732.409,1.34056
281,CoRoT-17 b,CoRoT-17,b,Transit,2011,3.7681,0.0481,5740.0,1.59,1.04,278.699236,-6.612288,1176.12,0.82338
282,CoRoT-17 b,CoRoT-17,b,Transit,2011,3.7681,0.0481,5740.0,1.62,1.043,278.699236,-6.612288,1176.12,0.82338
283,CoRoT-17 b,CoRoT-17,b,Transit,2011,3.7681,0.0461,5740.0,1.59,1.04,278.699236,-6.612288,1176.12,0.82338
284,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.90009,0.0288,4651.4349999999995,0.883,0.88,98.1724172,-0.0316045,764.889,1.28063
285,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.9000693,0.0295,5440.0,1.0,0.95,98.1724172,-0.0316045,764.889,1.28063
286,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.9000769,0.11339,5440.0,1.0,0.95,98.1724172,-0.0316045,764.889,1.28063
287,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.9000693,0.0295,5440.0,1.0,0.95,98.1724172,-0.0316045,764.889,1.28063
288,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.90008624739,0.11339,5440.0,0.934028,0.7315,98.1724172,-0.0316045,764.889,1.28063
289,CoRoT-18 b,CoRoT-18,b,Transit,2011,1.9000693,0.0286,5440.0,0.924,0.861,98.1724172,-0.0316045,764.889,1.28063
290,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.89712026062,0.11339,6090.0,1.6395,0.7315,97.0335983,-0.1707293,790.663,1.23764
291,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.89713,0.0518,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.23764
292,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.8971379,0.11339,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.23764
293,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.89713,0.05166,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.23764
294,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.89713,0.0512,6090.0,1.576,1.181,97.0335983,-0.1707293,790.663,1.23764
295,CoRoT-19 b,CoRoT-19,b,Transit,2011,3.897131,0.11339,6090.0,1.65,1.21,97.0335983,-0.1707293,790.663,1.23764
296,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429964,0.0281,4651.4349999999995,0.77,0.7315,291.7770457,1.3836634,213.283,4.66076
297,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429935,0.02854,5696.0,0.907,1.018,291.7770457,1.3836634,213.283,4.66076
298,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74299705,0.11339,5696.0,0.77,0.7315,291.7770457,1.3836634,213.283,4.66076
299,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.742997,0.11339,5696.0,0.77,0.7315,291.7770457,1.3836634,213.283,4.66076
300,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74299609,0.11339,5575.0,0.77,0.7315,291.7770457,1.3836634,213.283,4.66076
