full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     C/1701 U1,,,,2342627.41,1.0,,0.5926,138.37,,,,
     C/1702 H1,,,,2342774.607,1.0,,0.64683,4.375,,,,
     C/1706 F1,,,,2344193.206,1.0,,0.42686,55.27,,,,
     C/1707 W1,,,,2344873.988,1.0,,0.85904,88.646,,,,
     C/1718 B1,,,,2348560.906,1.0,,1.02543,148.838,,,,
     C/1723 T1,,,,2350642.628,1.0,,0.99879,130.028,,,,
     C/1729 P1,,,,2352731.148,1.0,,4.05054,77.095,,,,
     C/1733 K1,,,,2354150.659,1.0,,0.10297,23.792,,,,
     C/1737 C1,,,,2355516.347,1.0,,0.22282,18.326,,,,
     C/1739 K1,,,,2356384.416,1.0,,0.67358,124.26,,,,
     C/1742 C1,,,,2357351.196,1.0,,0.76577,112.948,,,,
     C/1743 C1,,,,2357687.847,1.0,,0.83818,2.28,,,,
     C/1743 Q1,,,,2357940.647,1.0,,0.52299,134.415,,,,
     C/1743 X1,,,,2358103.3398,1.0,,0.222209,47.1417,,,,
     C/1746 P1,,,,2359200.415,1.0,,2.19859,100.857,,,,
     C/1748 H1,,,,2359622.809,1.0,,0.84067,94.535,,,,
     C/1748 K1,,,,2359673.888,1.0,,0.62536,67.083,,,,
     C/1750 C1,,,,2360287.5,1.0,,0.2,132.0,,,,
     C/1757 R1,,,,2363085.326,1.0,,0.33738,12.828,,,,
     C/1758 K1,,,,2363318.137,1.0,,0.21535,68.3,,,,
     C/1760 A1 (Great comet),,,,2363871.841,1.0,,0.96576,175.126,,,,
     C/1760 B1 (Messier),,,,2363852.002,1.0,,0.80139,79.084,,,,
     C/1762 K1 (Klinkenberg),,,,2364765.335,1.0,,1.00905,85.668,,,,
     C/1763 S1 (Messier),,,,2365287.874,1.0,,0.49818,72.497,,,,
     C/1764 A1 (Messier),,,,2365390.571,1.0,,0.55522,127.089,,,,
     C/1766 E1 (Messier),,,,2366126.362,1.0,,0.50532,139.152,,,,
     D/1766 G1 (Helfenzrieder),,,,2366200.5,0.84763,2.6647634,0.40603,7.865,4.9234968,,,
     C/1769 P1 (Messier),,,,2367454.6204,0.999249,163.4553928,0.122755,40.7338,326.7880306,,,
     D/1770 L1 (Lexell),,,,2367764.5,0.786119,3.1533844,0.674449,1.5517,5.6323197,,,
     C/1771 A1 (Great comet),,,,2367865.235,1.0,,0.52824,148.555,,,,
     C/1771 G1 (Messier),,,,2368013.5,1.0,,0.901835,11.2891,,,,
     C/1773 T1 (Messier),,,,2368883.607,1.0,,1.12689,61.22,,,,
     C/1774 P1 (Montaigne),,,,2369227.449,1.0,,1.42858,82.978,,,,
     C/1779 A1 (Bode),,,,2370886.5,1.0,,0.713178,32.4406,,,,
     C/1780 U1 (Montaigne-Olbers),,,,2371524.848,1.0,,0.51528,107.917,,,,
     C/1780 U2 (Messier),,,,2371465.752,1.0,,0.09926,126.177,,,,
     C/1781 M1 (Mechain),,,,2371745.189,1.0,,0.77586,81.724,,,,
     C/1781 T1 (Mechain),,,,2371890.523,1.0,,0.961,152.801,,,,
     C/1783 X1 (Great comet),,,,2372673.2,1.0,,0.70786,128.859,,,,
     C/1785 A1 (Messier-Mechain),,,,2373045.325,1.0,,1.1434,70.238,,,,
     C/1785 E1 (Mechain),,,,2373116.414,0.99646,120.6892655,0.42724,92.639,240.9512911,,,
     C/1786 P1 (Herschel),,,,2373574.5,1.0,,0.410712,50.8921,,,,
     C/1787 G1 (Mechain),,,,2373878.825,1.0,,0.34891,131.724,,,,
     C/1788 W1 (Messier),,,,2374428.309,1.0,,1.06301,167.512,,,,
     C/1790 A1 (Herschel),,,,2374859.212,1.0,,0.7581,148.068,,,,
     C/1790 H1 (Herschel),,,,2374985.241,1.0,,0.79796,116.147,,,,
     C/1791 X1 (Herschel),,,,2375587.535,1.0,,1.29258,140.211,,,,
     C/1793 A1 (Gregory),,,,2375936.198,1.0,,0.96581,131.003,,,,
     C/1793 S1 (Perny),,,,2376263.4983,1.0,,1.504546,51.9362,,,,
     C/1793 S2 (Messier),,,,2376248.841,1.0,,0.40344,119.642,,,,
     C/1796 F1 (Olbers),,,,2377128.7737,1.0,,1.579636,115.1716,,,,
     C/1797 P1 (Bouvard-Herschel),,,,2377591.114,1.0,,0.52545,129.427,,,,
     C/1798 G1 (Messier),,,,2377860.508,1.0,,0.48503,43.783,,,,
     C/1798 X1 (Bouvard),,,,2378131.914,1.0,,0.77479,137.746,,,,
     C/1799 P1 (Mechain),,,,2378381.191,1.0,,0.83986,129.062,,,,
     C/1799 Y1 (Mechain),,,,2378490.896,1.0,,0.6258,102.996,,,,
     C/1801 N1 (Pons),,,,2379081.557,1.0,,0.25641,159.267,,,,
     C/1802 Q1 (Pons),,,,2379478.8554,1.0,,1.094249,57.0108,,,,
     C/1804 E1 (Pons),,,,2380000.5881,1.0,,1.071168,56.4522,,,,
     C/1806 V1 (Pons),,,,2381049.9118,1.0,,1.081927,144.9537,,,,
     C/1807 R1 (Great comet),,,,2381313.7389,0.995488,143.2012411,0.646124,63.1762,285.7563583,,,
     C/1808 F1 (Pons),,,,2381550.953,1.0,,0.38986,134.303,,,,
     C/1808 M1 (Pons),,,,2381611.1677,1.0,,0.607953,140.705,,,,
     C/1808 R1 (PONS),,,,2381677.5,1.0,,1.062041,132.7937,,0.13998,,
     C/1810 Q1 (Pons),,,,2382427.2379,1.0,,0.969623,62.9454,,,,
     C/1811 F1 (Great comet),,,,2382760.5,0.995125,212.3922051,1.035412,106.9342,423.7489983,,,
     C/1811 W1 (Pons),,,,2382828.0427,0.980916,82.8809998,1.581701,31.2554,164.1802986,,,
     C/1813 C1 (Pons),,,,2383307.522,1.0,,0.699314,158.8486,,,,
     C/1813 G1 (Pons),,,,2383383.5872,1.0,,1.214703,99.0577,,,,
     C/1816 B1 (Pons),,,,2384400.346,1.0,,0.0485,43.111,,,,
     C/1817 Y1 (Pons),,,,2385162.5,1.0,,1.197821,89.7518,,,,
     C/1818 W2 (Pons),,,,2385408.9347,1.0,,0.855096,116.9058,,,,
     C/1819 N1 (Great comet),,,,2385613.5,1.0,,0.341514,80.7517,,,,
     C/1821 B1 (Nicollet-Pons),,,,2386246.5366,1.0,,0.091823,106.4613,,,,
     C/1822 J1 (Gambart),,,,2386656.5793,1.0,,0.504429,126.3969,,,,
     C/1822 K1 (Pons),,,,2386727.8337,1.0,,0.84713,143.6913,,,,
     C/1822 N1 (Pons),,,,2386840.5,0.996316,310.8303474,1.145099,127.3429,620.5155959,,,
     C/1823 Y1 (Great comet),,,,2387306.5,1.0,,0.226742,103.8194,,,,
     C/1824 N1 (Rumker),,,,2387454.5188,1.0,,0.591671,125.4324,,,,
     C/1824 O1 (Scheithauer),,,,2387534.0664,1.0,,1.049835,54.5985,,,,
     C/1825 K1 (Gambart),,,,2387760.5,0.996395,246.6049931,0.889011,123.3414,492.3209751,,,
     C/1825 N1 (Pons),,,,2387960.5,0.995431,271.579339,1.240846,146.4353,541.917832,,,
     C/1825 P1 (Pons),,,,2387857.7111,1.0,,0.883471,89.6749,,,,
     C/1825 V1 (Pons),,,,2388103.9581,1.0,,2.007734,39.9903,,,,
     C/1826 P1 (Pons),,,,2388280.5,0.997492,340.0629984,0.852878,25.9496,679.2731188,,,
     C/1826 U1 (Pons),,,,2388314.4074,1.0,,0.026904,90.6234,,,,
     C/1826 Y1 (Pons),,,,2388392.911,1.0,,0.506166,102.3898,,,,
     C/1827 P1 (Pons),,,,2388611.667,1.0,,0.137758,125.8788,,,,
     C/1830 F1 (Great comet),,,,2389574.5,1.0,,0.921424,21.257,,,,
     C/1831 A1 (Great comet),,,,2389814.6604,1.0,,0.125887,135.263,,,,
     C/1832 O1 (Gambart),,,,2390387.5,1.0,,1.183005,136.6727,,,,
     C/1833 S1 (Dunlop),,,,2390802.1912,1.0,,0.458122,7.3488,,,,
     C/1834 E1 (Gambart),,,,2391006.7926,1.0,,0.513106,5.9759,,,,
     C/1835 H1 (Boguslawski),,,,2391365.2052,1.0,,2.040153,170.8846,,,,
     C/1839 X1 (Galle),,,,2393109.4752,1.0,,0.618434,53.0716,,,,
     C/1840 B1 (Galle),,,,2393160.5,0.99325,180.8075556,1.220451,120.7807,360.3946601,,,
     C/1840 E1 (Galle),,,,2393198.4378,1.0,,0.748504,79.8512,,,,
     C/1840 U1 (Bremiker),,,,2393440.5,0.965941,43.4525676,1.479951,57.9043,85.4251842,,,
     C/1842 U1 (Laugier),,,,2394185.9553,1.0,,0.504685,106.4213,,,,
     C/1843 D1 (Great March comet),,,,2394259.411,0.999914,64.2674419,0.005527,144.3548,128.5293567,,,
     C/1843 J1 (Mauvais),,,,2394327.0559,1.0,,1.616305,52.7241,,,,
     C/1844 N1 (Mauvais),,,,2394840.5,0.999757,3520.1687243,0.855401,131.4092,7039.4820476,,,
     C/1844 Y1 (Great comet),,,,2394920.5,0.999302,358.9355301,0.250537,45.5651,717.6205232,,,
     C/1844 Y2 (d'Arrest),,,,2394940.1579,1.0,,0.905204,46.8605,,,,
     C/1845 D1 (de Vico),,,,2395039.5,1.0,,1.254549,56.4038,,,,
     C/1845 L1 (Great June comet),,,,2395088.6832,1.0,,0.401077,131.0985,,,,
     C/1846 B1 (de Vico),,,,2395319.0939,0.992403,194.9062788,1.480703,47.4257,388.3318546,,,
     C/1846 J1 (Brorsen),,,,2395453.471,0.990414,66.1130816,0.63376,150.6809,131.5924032,,,
     C/1846 O1 (de Vico-Hind),,,,2395444.8958,1.0,,1.375992,122.3771,,,,
     C/1846 S1 (de Vico),,,,2395599.7772,1.0,,0.830669,49.7196,,,,
     C/1847 C1 (Hind),,,,2395760.5,0.99991,473.2555556,0.042593,48.6636,946.4685181,,,
     C/1847 J1 (Colla),,,,2395800.5,1.000723,-2926.3471646,2.115749,100.4185,,,,
     C/1847 N1 (Mauvais),,,,2395880.5,0.998589,1251.6357193,1.766058,96.5817,2501.5053807,,,
     C/1847 Q1 (Schweizer),,,,2395883.3451,1.0,,1.484824,147.3551,,,,
     C/1847 T1 (Mitchell),,,,2395960.5,1.000172,-1912.9360465,0.329025,108.1326,,,,
     C/1848 P1 (Petersen),,,,2396279.0453,1.0,,0.319947,95.5938,,,,
     C/1848 U1 (Petersen),,,,2396412.3534,1.0,,0.959782,85.04,,,,
