source_id,catalogue_name,source_name_in_catalogue,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_params_solved,quasar_probability
4441429185487049216,R90 (Assef et al. 2018),J165637.10+065508.8,254.1546267057753,6.919154058035532,0.2969527149327182,0.0851229785823258,0.45171452,0.34921956,0.3087123615685177,0.43704814,20.0046,20.338623,19.485388,0.85323524,1.0301329,31,0.58863384
4441432346583237504,Gaia-unWISE (Shu et al. 2019),2547p075o0037622,254.2406991385465,7.028734123013612,-1.1310477535368757,0.0333475199601151,0.8023964,0.63300526,1.1344323720858287,0.6879064,20.551838,20.813875,19.966711,0.84716415,0.96311206,31,0.7663838
4441443341699571968,R90 (Assef et al. 2018),J165656.65+071031.1,254.2361197944676,7.175290315127246,-0.2838426501662729,0.3314450828717343,0.6572423,0.5577956,0.2250133722974024,0.6484465,20.396746,20.48498,19.588614,0.8963661,1.0303552,31,0.99996823
4441456643216620032,R90 (Assef et al. 2018),J165628.84+071523.3,254.12018305219684,7.256447503007038,-0.633967394351029,-0.6542344674249143,1.0926142,0.92047465,0.1381688553424541,0.9215812,20.589144,20.77824,19.958809,0.8194313,0.9881909,95,0.82228214
4441516974620100608,Gaia-unWISE (Shu et al. 2019),2532p075o0013056,253.6799625333728,7.368786771540551,0.444533503651798,0.1314236071785166,0.19930328,0.14886908,-0.2302270163142588,0.19332772,18.890549,19.15822,18.444176,0.7140446,0.9870898,31,1.0
4441506426180446080,Gaia-unWISE (Shu et al. 2019),2532p075o0040798,253.8538808815724,7.387659455975325,0.7772230816282,0.100859298723962,0.8647822,0.5767894,-0.1288550431627749,0.82736987,20.468927,20.617237,19.842024,0.77521324,1.0075994,95,0.99983084
4441522094221257600,Gaia-unWISE (Shu et al. 2019),2532p075o0015762,253.58031890644648,7.485781130829277,-0.2656208903331333,1.2597977080931824,0.5748254,0.47245154,0.3587939520304369,0.5168156,20.154585,20.505135,19.743591,0.7615433,1.0430497,95,0.99999875
4441524808640650368,AllWISE (Secrest et al. 2015),J165422.83+073309.5,253.59518069324844,7.55263027935106,0.455138412749033,0.0163936508652492,0.21713224,0.16094713,-0.105138854506787,0.19567032,18.914251,19.123657,18.547873,0.5757847,0.9846334,31,1.0
4442276569652498944,AllWISE (Secrest et al. 2015),J165404.14+073630.6,253.5172662413136,7.608489436416596,-0.2379518769598095,-0.1871001752421253,0.14305364,0.10211336,-0.1878566124164603,0.12840642,17.997284,18.133156,17.345976,0.78717995,1.0955977,31,0.99998903
4441525633274327424,R90 (Assef et al. 2018),J165522.86+073014.4,253.84525444243025,7.504015933517374,0.672790807214002,1.5339448111253025,1.6759758,1.1578356,0.5196014380303129,2.3578978,20.663921,20.339615,19.086666,1.2529488,1.3359475,95,0.7460164
4441525701993812992,R90 (Assef et al. 2018),J165519.38+073051.7,253.83072768935727,7.514247969964108,0.6716727266144161,1.0701017719804051,1.0121483,0.8444586,0.333041895906261,0.9554009,20.539253,20.824825,19.943695,0.8811302,1.0632918,95,0.94532156
4441525805073366784,R90 (Assef et al. 2018),J165520.41+073126.3,253.83503468807368,7.523961190211986,-0.3554207290088699,-0.5283266435434903,0.978374,0.88451725,0.5985010624502409,0.9056778,20.675388,20.936136,19.846914,1.089222,0.96606994,31,0.16365795
4441501753255896192,R90 (Assef et al. 2018),J165531.12+071734.8,253.87957777958985,7.292916093253384,-0.2528975165389733,-0.0634302844245972,0.99523646,0.7467967,0.1460885436562984,0.7653385,20.549156,20.91431,20.138475,0.77583504,1.0270901,31,0.31023252
4441508350325774720,R90 (Assef et al. 2018),J165552.40+072224.3,253.9683605915275,7.373528958185105,-1.2086909254026643,-0.7554703709142949,0.5641977,0.430737,0.2178060721197311,0.56331986,20.04283,20.282322,19.600124,0.6821976,1.0410949,31,0.46187666
4441460624649155584,R90 (Assef et al. 2018),J165636.62+072114.1,254.1526147219205,7.354017316387536,0.1171788852187745,0.5805768488062767,0.44533923,0.32648438,0.2577058471859271,0.37662283,19.702812,20.119043,19.170034,0.94900894,0.9131578,31,0.9998925
4441510308830936064,R90 (Assef et al. 2018),J165623.29+072555.1,254.09705441512872,7.432110976945616,-0.3381085360919292,-0.7816294301728335,0.6356723,0.5036288,-0.4307473941310588,0.61935335,20.144947,20.410229,19.579237,0.83099174,1.0411777,31,0.9989221
4441513469926949760,AllWISE (Secrest et al. 2015),J165549.45+073030.2,253.95610725580516,7.50830560659832,-0.9235306279317624,-0.4689700984100015,0.5048623,0.3987121,0.3956239385559249,0.52501655,19.879713,20.05778,19.32549,0.73228836,0.9600654,31,0.99999857
4441529893882003456,Gaia-unWISE (Shu et al. 2019),2532p075o0020171,253.9291128234152,7.683407433951233,0.0642479705774724,-0.1508412626922764,0.4635041,0.39231512,0.4328392961108941,0.57045746,20.159496,20.63464,19.333231,1.3014088,1.0322762,31,0.0036219368
4441610574843006208,AllWISE (Secrest et al. 2015),J165607.82+073742.8,254.03262635536063,7.628552297091938,-0.7198284371954157,-1.1848344573645395,0.5852956,0.44278565,-0.9458110006474744,0.635869,19.75339,19.060911,17.720905,1.3400059,1.2042762,95,0.00020630824
4441605760183298688,R90 (Assef et al. 2018),J165655.53+073437.4,254.23143197301945,7.57702593492233,-0.2151273325302727,0.119474546989473,0.6899316,0.4908861,-1.2509601313266232,0.622671,20.286066,20.659142,19.714733,0.9444084,0.9286828,31,0.021424394
4441611326462142080,AllWISE (Secrest et al. 2015),J165622.67+074152.7,254.0944414289583,7.69795631846497,0.1805507359145871,0.0758868602667961,0.32742435,0.25752512,0.4702859787139292,0.3435553,19.58928,20.008755,19.047544,0.96121025,0.9803034,31,0.9999695
4442316495668345344,AllWISE (Secrest et al. 2015),J165049.71+074226.6,252.7071767951302,7.707382173789408,0.5636967338064635,0.3404518616211267,0.26587287,0.1880661,-0.0754752569304311,0.26363716,19.088287,19.122066,18.01007,1.1119957,1.0231287,31,0.9827618
4442335668402860928,R90 (Assef et al. 2018),J165110.30+075047.1,252.79299660798588,7.846380880356236,-2.356481586538979,-1.717223313290803,1.351601,0.98440164,1.2225303330769812,0.9596345,20.734446,20.779158,19.885529,0.8936291,1.0889668,95,0.73083824
4442317797040705792,AllWISE (Secrest et al. 2015),J165158.48+074048.5,252.9937166681511,7.680117095285828,-0.0385633103851563,0.0046271557627615,0.2648078,0.19179013,-0.0372855143026603,0.24967916,19.135645,19.477772,18.672682,0.80508995,0.92359656,31,0.99840254
4442325081305376896,R90 (Assef et al. 2018),J165142.98+075111.3,252.92914767190453,7.853162387722894,-0.4989465444056002,-0.4465065158764064,0.83888984,0.6159374,1.1357892687691011,0.7130294,20.528027,20.839436,19.904953,0.9344826,1.0546129,31,0.39261404
4442321099873747200,Gaia-unWISE (Shu et al. 2019),2532p075o0036883,253.03494098328844,7.789871854341031,0.6807074328602747,0.1598168727005205,0.71351177,0.49727362,-1.707430176140331,0.7853959,20.365986,20.77742,19.87115,0.906271,0.98312783,31,0.8889067
4442339684194238336,R90 (Assef et al. 2018),J165048.08+075436.4,252.70057599490144,7.910033292604591,-0.0168954423491014,-0.2307371722289027,0.42516407,0.32401899,-1.051193914240393,0.41150168,19.863855,20.157728,19.40467,0.7530575,1.018569,31,1.0
4442325635357704832,Gaia-unWISE (Shu et al. 2019),2532p075o0024381,252.96866171321463,7.879426685395302,2.1361031838732867,0.2094924665252738,0.99212617,0.5975122,-0.8930078245040256,0.9006438,20.489252,20.645266,20.039255,0.60601044,1.0140948,31,0.9384989
4442271415690046464,R90 (Assef et al. 2018),J165220.91+073955.2,253.08717358860625,7.665380327527985,1.8222281245066865,1.2807683332413038,2.247394,1.576102,-0.0418160525540327,3.5492218,20.74041,20.76171,20.427746,0.3339634,0.9413953,95,0.49231184
4442297078119933184,Gaia-unWISE (Shu et al. 2019),2532p075o0023166,253.24942010126765,7.822490700257823,-0.8723242930992701,0.698272642612009,1.1566308,0.76886785,1.2090261541937122,0.8731691,20.566317,20.562775,19.874863,0.687912,0.9979192,31,0.99999356
4442297907050105472,AllWISE (Secrest et al. 2015),J165316.26+075034.6,253.31780747555115,7.842917104065757,0.0775655056662425,0.099266445593596,0.3631289,0.28279945,0.2922420859623946,0.34872594,19.725105,20.08207,19.258724,0.8233452,1.0267721,31,0.5998493
4442345765867931392,R90 (Assef et al. 2018),J165225.60+075451.2,253.10678227980983,7.914069270730082,1.3837722463792892,1.2129013913521935,1.1074749,0.6921486,0.6441704318177994,0.9802667,20.532402,20.607016,19.899845,0.7071705,0.97003275,31,0.45848674
4442347075834088448,R90 (Assef et al. 2018),J165244.56+075509.4,253.185750666482,7.919171490418687,1.9767374293543487,-0.1389425732022971,1.1744524,0.8989373,-1.6549657477685125,0.9434027,20.606653,20.685713,20.069818,0.6158943,1.0410047,31,0.9989146
4442347861812200064,AllWISE (Secrest et al. 2015),J165245.01+075854.7,253.1875767145451,7.981874844723997,0.6087958212065743,0.9436295175065104,1.1362869,0.837945,0.6302270100598227,1.2190746,20.61545,20.861464,19.690807,1.1706562,1.0226612,31,0.9926008
4442347483854872192,R90 (Assef et al. 2018),J165252.38+075622.9,253.21834309830857,7.939791805995977,-2.388062639861161,-2.14164604433606,2.178663,1.5633017,0.461358188552926,2.4406903,20.943583,20.778835,19.294722,1.4841137,1.3034794,95,0.062282316
4442355012935304064,R90 (Assef et al. 2018),J165328.43+080302.8,253.36848300274403,8.050864645841108,0.4770699500636585,0.0819421745914847,0.3406595,0.2589248,-0.1098959034061164,0.3144326,19.430151,19.665873,18.984533,0.68133926,0.9961236,31,0.9999999
4442367515582729600,Gaia-unWISE (Shu et al. 2019),2532p075o0029740,252.88321767730744,8.132798783842475,-0.5262481197531668,-0.4397652437494093,0.49755105,0.3841559,0.2985700218781171,0.45905334,20.0513,20.28221,19.53152,0.75068855,0.96380013,31,0.9999999
4442562507097490176,AllWISE (Secrest et al. 2015),J165052.26+081748.8,252.71778487920085,8.296968834955392,0.5125895327239838,-0.4420285188319121,0.34661353,0.26924574,0.049373297224362,0.32766807,19.571987,19.81286,19.075386,0.73747444,0.9821718,31,0.99999416
4442562472737749504,Gaia-unWISE (Shu et al. 2019),2532p075o0037966,252.7352762237753,8.294944194133022,-0.781496918195628,-0.3900668565783339,0.8264576,0.6664327,-0.5347084304857,0.70791125,20.619007,20.932112,20.102354,0.8297577,0.95738673,31,0.09953525
4442562369658562304,Gaia-unWISE (Shu et al. 2019),2527p090o0000415,252.80154549460647,8.324096645043188,3.094621703929717,2.0245381695318763,1.9072856,1.4585075,0.8554058835443715,1.2944841,20.805628,20.857256,20.195797,0.66145897,0.97967654,95,0.99949324
4442576457151383680,ICRF3 S/X,ICRF J165037.5+082452,252.65651146926203,8.414508747381637,0.2095318576978922,0.0329425907968345,0.36712712,0.23602985,-0.3114714557968116,0.33716804,19.683508,19.9208,18.817005,1.1037941,1.0270137,95,0.9783884
