source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
2061431989666755840,305.54764714847306,39.48215517231259,0.3557639589057658,-9.291415136469332,-12.094003263322344,15.482924,2.5752401
2061431989666757760,305.5468961526733,39.48415523035669,0.6088137250382112,-2.9894038527148474,-4.962637235622044,15.287364,1.3771124
2061432019722183424,305.5961805791512,39.4528909355012,0.6818321223381081,-2.6832311366118327,-7.482943472779935,18.670725,2.3577347
2061432019722205312,305.6011551687343,39.45738989149263,0.4188313823166481,-3.54678351831624,-5.711552309010124,18.40647,2.908575
2061432019722250624,305.5914469774984,39.46555259608528,0.0102004246863803,-3.7399676450513217,-2.6539514445397203,18.520185,2.4776306
2061432019725360128,305.6026044751308,39.45937582887904,0.3114675119645927,-3.500438733678327,-6.765218336063816,19.819181,2.8207455
2061432019725375232,305.5973446341118,39.46743892002648,-0.2162572843973486,-2.020246207734669,-2.9667510772654984,19.781528,3.3139782
2061432019725384832,305.59303676367443,39.46955046982447,-0.4544129353029209,-2.2403243169981706,-4.3113318088117785,19.595394,2.1745968
2061432019726459008,305.5866991236296,39.46514872443688,0.0113412146776434,-2.0922480996626223,-3.5693941673395666,19.823832,2.5427113
2061432024018573440,305.5918689602345,39.45536335888905,0.6460852858078855,3.848285556904429,-0.3296946226749996,20.275297,2.0625114
2061432024018588160,305.5874733173317,39.460220659450165,1.1212721330034563,0.4202595199851406,-1.1654792686111786,20.519636,1.851738
2061432024019323520,305.5956183258382,39.46878636274116,-0.9994309487470155,-5.517998576880475,-5.733540045046835,20.878794,1.6772099
2061432024019988992,305.6039394589009,39.46149190229879,-0.0586222774983073,-1.017404000409733,-9.40698068282748,20.498106,2.5513725
2061432024026460160,305.5953418944821,39.46742533776492,0.3110867307112849,-5.999502336922523,-7.766667575565126,18.267857,2.2665157
5816882089703610752,255.94933246077397,-64.08233428441407,0.4273822006111916,-6.561548593431144,-5.856477531442577,17.151514,1.0001335
5816882119750792704,255.95625079511376,-64.07763036394067,-0.6930492623755946,-1.191721347746419,-4.935484772192238,20.0246,1.0871067
5816882119750800128,255.95356135571916,-64.07612800319714,0.1196482699078291,-4.2710547297746695,-0.1176849765142249,19.753805,1.3381538
5816882119750812672,255.9390512739511,-64.07336884508499,0.3015963722312218,0.7614742798420084,-6.068616403280989,18.40563,1.7229347
5816882119750824576,255.9485843466312,-64.07663266469267,0.2458261437155602,-7.366384462305149,-10.074946251251037,19.2531,1.1416264
5816882119750854400,255.9444349378865,-64.06381245428253,0.156944839797956,-4.228769578867572,0.2375892762210708,19.103168,1.3813305
5816882119750854528,255.93030143148505,-64.06388276903151,0.0544004569521068,-2.858314958479729,-6.489046094091922,19.951992,1.0855579
5816882119750865152,255.9362059691615,-64.06135004947042,0.4336697400783235,-1.2674681744493677,-1.9765855492227276,16.502636,0.9252567
5816882119752718336,255.9442265130782,-64.07413774509014,0.6034521906005176,-6.855168166935104,-12.43636716303972,20.045267,1.1739502
5816882124049060864,255.9426738191885,-64.06806791022622,0.5844084625479442,-5.9104815927038326,-6.938074083279266,19.985046,2.5393028
5816882124049871872,255.94441634152687,-64.07457270144283,1.1857327935100586,3.441007150356723,-9.84762797557432,20.274563,2.1435452
5816882124049872384,255.93150476935884,-64.07131072042534,0.62582966239351,-4.284621098807112,-3.108887433301967,20.306946,1.5164547
5816882124050134784,255.95912282823843,-64.07955795077274,2.1710149376356127,-5.590293258152524,-9.831021229413215,,
3180637172059730176,74.52251896701672,-11.257933329078805,0.1910494114040184,0.1735562154181589,0.2431794832911717,18.832148,0.80163574
5816882124050140928,255.95665589234028,-64.06659618315322,0.820711549633373,-10.465248800295806,-11.504198951448974,20.232649,2.5750446
5816708813527824256,255.6781116797612,-65.16908160228645,1.2387554877514926,-3.9004564819298966,-2.1485477437784506,20.74272,1.3526325
5816708813527878144,255.6645441834096,-65.17106074375964,2.8595411048359827,2.2211199512549804,-10.930289005365973,20.72043,2.481783
5816708813541725568,255.6844436271916,-65.17350876974044,0.5743844502986926,-4.326475861656266,-0.5909335414463848,20.101763,1.1397247
5816708813541728000,255.6769251493766,-65.17134096330956,0.4352017715124659,-1.6025614272822872,1.014111949335784,17.347862,1.1057377
5816708813541732608,255.66034736745928,-65.16751732592054,0.0888851803302011,-2.668474616881925,-4.671583799863854,17.295202,1.031704
5816708813541733120,255.6563060173604,-65.16832162027451,0.2474966854487251,-3.0622749023895954,-5.476898785603464,17.120749,0.99518585
5816708813541736576,255.6556952145542,-65.16326126160608,0.2649122571530723,-2.776238293613994,-10.209214736377255,16.72006,0.98366547
5816708813541993472,255.68017737848197,-65.17302458846676,1.1416056329320057,3.1073231381134137,2.061232695083149,14.96235,1.0627117
5816708813545843584,255.6533696821451,-65.16986261912133,0.3004701528395178,-9.896110025826117,-10.475228422757777,19.859571,2.5735111
5816708843593681536,255.69078927264,-65.16822463258008,0.6492787300526719,-1.5389269195296498,-1.265791251354393,19.844643,1.1772175
