rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
374,CoRoT-8 b,CoRoT-8,b,Transit,2010,6.21229,0.0633,7.980808,0.712,68.65128,0.216,,5080.0,0.898,0.878,291.5885696,1.4262972,322.037,3.07662
375,CoRoT-9 b,CoRoT-9,b,Transit,2009,95.2738,0.407,11.77,1.05,266.97,0.84,G3 V,5625.0,0.94,0.99,280.7866461,6.2040783,412.98,2.39295
376,CoRoT-9 b,CoRoT-9,b,Transit,2009,95.272656,0.4029,11.948794,1.066,268.88418,0.846,,5625.0,0.96,0.96,280.7866461,6.2040783,412.98,2.39295
377,CoRoT-9 b,CoRoT-9,b,Transit,2009,95.272725,,,,,,,,,,280.7866461,6.2040783,412.98,2.39295
378,CoRoT-9 b,CoRoT-9,b,Transit,2009,95.272656,0.4021,11.948794,1.066,266.9772,0.84,,5625.0,0.96,0.96,280.7866461,6.2040783,412.98,2.39295
379,CoRoT-9 b,CoRoT-9,b,Transit,2009,95.2738,0.4027,11.623733,1.037,262.52758,0.826,,5625.0,0.938,0.96,280.7866461,6.2040783,412.98,2.39295
380,DE CVn b,DE CVn,b,Eclipse Timing Variations,2018,4098.1,5.75,,,,,,,,0.51,201.7207198,45.5455449,30.5225,32.7338
381,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,b,Astrometry,2013,246.36,0.36,,,9057.77,28.5,L1.5,,,0.075,125.7620668,-49.2003008,,
382,DH Tau b,DH Tau,b,Imaging,2004,,330.0,,,3496.0,11.0,M0.5,,0.27,0.33,67.4231674,26.5493897,134.846,7.38799
383,DH Tau b,DH Tau,b,Imaging,2004,,,30.2643,2.7,3496.13,11.0,,4371.0,1.36687,0.683,67.4231674,26.5493897,134.846,7.38799
384,DMPP-1 b,DMPP-1,b,Radial Velocity,2019,18.57,0.1462,,,,,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,15.9613
